SVC_REQUEST_NUMBER,WORKORDER_NUMBER,WORKORDER_ACTIVITY_CODE,WORKORDER_ACTIVITY_DESCRIPTION,WORKORDER_STARTED,WORKORDER_COMPLETED,WORKORDER_ADDED,TIME_STAMP
186060766,843195473,SCF,FLUSH CATCH BASIN/CONNECTION,2020-01-09T13:15:00.000,2020-01-09T13:45:00.000,2020-01-11T11:20:56.000,2020-01-12T00:45:01.000
185416211,842466086,WA10,RESET/REPLACE VALVE BOX,2016-05-29T03:00:00.000,2022-09-25T19:05:00.000,2016-05-20T09:17:14.000,2022-09-27T00:50:02.000
185928347,843079691,WA06A,SHUT TAP/WET CON. /NON-COMP.,2019-05-30T00:00:00.000,2019-05-30T00:00:00.000,2019-05-20T13:56:33.000,2019-06-02T00:45:08.000
185625992,842751060,SCTV,TV CATCH BASIN CONNECTION,2020-02-02T11:00:00.000,2020-02-02T11:00:00.000,2017-07-30T10:15:00.000,2020-02-08T00:45:02.000
186086453,843271801,SCC,CLEAN CATCH BASIN/INLET,2020-04-15T08:45:00.000,2020-04-15T09:50:00.000,2020-05-20T18:25:11.000,2020-05-21T00:45:05.000
185853762,843082323,SMPC,POLE CAMERA,2019-05-17T14:10:00.000,2019-05-17T14:40:00.000,2019-05-26T18:04:27.000,2019-05-27T00:45:08.000
185788753,843096230,WA12Z,OTHER REPAIR,2019-06-17T12:00:00.000,2019-06-17T13:00:00.000,2018-08-07T11:50:19.000,2019-06-23T00:45:07.000
185707676,842848150,SA26,REPLACE MANHOLE CASTING,2019-10-29T17:45:00.000,2019-10-29T22:45:00.000,2018-03-03T10:46:10.000,2019-11-03T00:45:09.000
186130869,843819779,SRB,REPAIR SEWER BREAK (CONTRACT.),,,2021-07-27T15:03:59.000,2021-07-28T00:45:01.000
185725261,842873190,SA23,REPAIR BASIN-MINOR,,2019-07-12T00:00:00.000,2018-04-04T09:53:32.000,2019-07-15T00:45:06.000
185918731,843055506,WA04,REPAIR INOPERATIVE HYDRANT,2019-05-27T14:15:00.000,2019-05-27T00:00:00.000,2019-04-24T11:37:12.000,2019-05-29T00:45:03.000
185814075,842966552,SA23,REPAIR BASIN-MINOR,,2019-05-02T08:00:00.000,2018-09-22T12:32:04.000,2019-05-05T00:45:08.000
185101381,842188414,SA25,REPAIR CONNECTION,,,2014-12-16T10:05:43.000,2019-11-10T00:45:07.000
185758862,842949172,SA24,REPAIR BASIN-MAJOR,,2019-06-24T00:00:00.000,2018-08-21T15:07:37.000,2019-06-30T00:45:09.000
185767118,843106933,SA12R,CAVE IN RESTORATION,2019-07-14T14:15:00.000,2019-25-14T14:40:00.000,2019-07-15T09:24:17.000,2019-07-16T00:45:12.000
185919251,843071840,SRB,REPAIR SEWER BREAK (CONTRACT.),2019-05-27T00:00:00.000,2019-05-27T00:00:00.000,2019-05-04T10:38:10.000,2019-06-26T00:45:06.000
185972833,843117250,SMPC,POLE CAMERA,2019-08-02T11:45:00.000,2019-08-02T12:30:00.000,2019-08-17T09:33:27.000,2019-08-18T00:45:07.000
185858083,843073716,SMRTV,REEL TV SEWER HOUSE CONNECTION,,,2019-05-08T11:01:23.000,2019-05-09T00:45:08.000
185835645,843073268,SVAC,VACTOR SEWER,2019-05-05T09:15:00.000,2019-05-05T10:30:00.000,5555-05-07T10:18:45.000,2019-05-08T00:45:09.000
185119600,842142546,WA10,RESET/REPLACE VALVE BOX,2019-10-27T16:58:00.000,2019-10-27T16:58:00.000,2014-09-24T16:56:27.000,2019-10-28T00:45:05.000
1710703,1512137,SA25,REPAIR CONNECTION,,,2011-10-10T18:37:22.000,2019-10-01T00:45:07.000
1746723,1563109,SA25,REPAIR CONNECTION,,,2012-01-11T21:58:50.000,2019-10-01T00:45:07.000
185799636,843006721,SA24,REPAIR BASIN-MAJOR,,2019-06-18T00:00:00.000,2018-12-20T10:54:57.000,2019-06-23T00:45:07.000
185868409,843016173,SCSBUI,CHRONIC SBU INSPECTION AREA,,2020-05-02T09:10:00.000,2019-01-16T09:29:18.000,2020-05-03T00:45:02.000
185934897,843077386,SA26,REPLACE MANHOLE CASTING,2019-11-08T00:45:00.000,2019-11-08T04:15:00.000,2019-05-18T11:07:47.000,2019-11-25T00:45:07.000
185909214,843054406,WA06J,REPAIR JOINT LEAK,2019-05-15T08:30:00.000,,2019-04-22T09:33:32.000,2019-05-21T00:45:09.000
